date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2020-02-06,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-07,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-08,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-09,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-12,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-13,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-14,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-15,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-16,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-18,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-19,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-20,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-21,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-22,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-23,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-08,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-09,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-10,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-11,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-14,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-16,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-18,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-25,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-26,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-27,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-02,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-03,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-09,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-10,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-12,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-14,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-16,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-17,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-18,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-19,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-20,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-21,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-22,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-23,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-24,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-25,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-29,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-30,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-31,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-06,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-07,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-09,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-10,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-11,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-12,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-13,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-14,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-15,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-16,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-20,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-21,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-22,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-23,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-24,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-25,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-26,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-27,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-28,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-29,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-02,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-03,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-04,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-05,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-06,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-07,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-09,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-10,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-11,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-12,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-13,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-14,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-16,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-17,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-18,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-19,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-20,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-21,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-22,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-23,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-24,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-25,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-26,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-27,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-28,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-29,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-30,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-31,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-02,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-03,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-04,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-05,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-06,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-07,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-08,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-09,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-10,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-11,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-12,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-13,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-14,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-15,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-16,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-17,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-18,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-19,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-20,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-21,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-22,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-23,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-24,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-25,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-26,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-27,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-28,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-29,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-30,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-31,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-02,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-03,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-04,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-05,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-06,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-07,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-08,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-09,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-10,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-11,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-12,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-13,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-14,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-15,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-16,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-18,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-19,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-20,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-21,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-22,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-23,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-24,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-25,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-27,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-28,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-29,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-02,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-03,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-07,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-08,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-10,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-11,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-12,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-13,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-14,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-16,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-17,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-19,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-20,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-22,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-23,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-24,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-25,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-27,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-28,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-29,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-30,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-31,AU,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
